userid,art_galleries,dance_clubs,juice_bars,restaurants,museums,resorts,parks_picnic_spots,beaches,theaters,religious_institutions,location
1,0.93,1.8,2.29,0.62,0.8,2.42,3.19,2.79,1.82,2.42,Amsterdam_Jackwill_Street
2,1.02,2.2,2.66,0.64,1.42,3.18,3.21,2.63,1.86,2.32,Amsterdam_Jachthaven_ijbur
3,1.22,0.8,0.54,0.53,0.24,1.54,3.18,2.8,1.31,2.5,Amsterdam_Bert_Haanstra_Kad
4,0.45,1.8,0.29,0.57,0.46,1.52,3.18,2.96,1.57,2.86,Amsterdam_Ruigoord_Ker
5,0.51,1.2,1.18,0.57,1.54,2.02,3.18,2.78,1.18,2.54,Amsterdam_Loetje_In_De_Ake
6,0.99,1.28,0.72,0.27,0.74,1.26,3.17,2.89,1.66,3.66,Amsterdam_eukenple
7,0.9,1.36,0.26,0.32,0.86,1.58,3.17,2.66,1.22,3.22,Amsterdam_The_Roya
8,0.74,1.4,0.22,0.41,0.82,1.5,3.17,2.81,1.54,2.88,Amsterdam_Kermis_IJbur
9,1.12,1.76,1.04,0.64,0.82,2.14,3.18,2.79,1.41,2.54,Amsterdam_Nederlandse_Rugby_BondRugb
10,0.7,1.36,0.22,0.26,1.5,1.54,3.17,2.82,2.24,3.12,Amsterdam_IJburg_volgens_mij
11,1.47,1,0.7,0.75,1.66,2.76,3.18,2.89,1.66,2.62,Amsterdam_sdorperpold
12,0.96,2.96,0.29,0.38,0.88,2.08,3.17,2.93,1.66,3.42,Amsterdam_Voetbalclub_Nieuw-Wes
13,0.74,1.44,2.75,0.45,0.98,1.74,3.2,2.87,1.38,2.34,Amsterdam_aarlemmerw
14,0.58,1.64,2.27,0.45,1.26,1.72,3.19,2.91,2.3,2.74,Amsterdam_Rondje_IJbur
15,0.96,1.68,2.29,0.51,1.2,2.84,3.2,2.82,2.02,2.46,Amsterdam_De_Kwekeri
16,1.25,2.52,1.76,0.5,1.46,2.08,3.19,2.74,1.41,2.32,Amsterdam_Voetbalclub_Nieuw-Wes
17,0.86,1.04,1.76,0.34,0.06,1.1,3.18,2.73,1.15,2.98,Amsterdam_Nijlpaard_slui
18,0.61,1.96,2.49,0.66,1.34,1.78,3.2,3.04,1.15,2.42,Amsterdam_Glijbaan_Egelkopstraa
19,0.67,1.36,1.36,0.38,0.82,3.38,3.18,2.86,1.79,2.8,Amsterdam_Aristos_Hal_Amsterda
20,0.8,1.04,2.1,0.58,1.18,1.98,3.19,2.93,1.22,2.48,Amsterdam_The_Roya
21,0.86,1.44,1.12,0.41,1.2,2.18,3.18,2.7,1.06,2.94,Amsterdam_Haven_IJbur
22,0.96,1.44,0.14,0.42,1.06,2.08,3.17,2.74,1.15,3.22,Amsterdam_Shoeless_Open_Ai
23,0.93,1.16,0.29,0.41,1.02,1.36,3.16,2.74,1.34,3.66,Amsterdam_Shoeless_open_air_Ruigoor
24,0.54,1.44,0.3,0.41,1.02,1.46,3.17,2.71,1.73,3.04,Amsterdam_IJburg_volgens_mij
